Run name,Dissolution rate parameter (1/y),Slope angle (deg),Slope gradient (m/m),Intercept,Average vertical erosion rate (m/y),Fractional soil cover
dissolve_dr36,36.0e-5,14.9569455272,0.267143960973,2.96105160662,0.000659129383784,0.0
dissolve_dr40,40.0e-5,11.9060025534,0.210842471723,2.62025316456,0.000689201405244,0.0
dissolve_dr48,48.0e-5,5.32663961368,0.093236165672,3.02336903603,0.0007411955448,0.0
dissolve_dr4,4.0e-5,56.3002742582,1.49945229357,1.34858812074,9.83170797729e-05,0.0
dissolve_dr24,24.0e-5,35.2759196107,0.707408676957,2.43135345667,0.000453180781893,0.0
dissolve_dr12,12.0e-5,47.1173946606,1.07678354976,2.58519961052,0.000293422087718,0.0
dissolve_dr32,32.0e-5,23.4877741013,0.434558673889,2.25024342746,0.000584352261214,0.0
dissolve_dr28,28.0e-5,30.1471422173,0.580779516163,1.80525803311,0.000531503000746,0.0
dissolve_dr44,44.0e-5,6.01398172095,0.105350964407,3.57838364167,0.000726271369592,0.0
dissolve_dr8,8.0e-5,51.2908623697,1.24779616114,2.21811100292,0.00020483469493,0.0
dissolve_dr20,20.0e-5,38.7117594638,0.801488100081,1.1723466407,0.000431691113396,0.0
dissolve_dr16,16.0e-5,42.8380938761,0.927245894841,2.94255111977,0.000361581616457,0.0
