Landlab version,1.4.0+213.gc1191879,
Dissolution rate parameter (1/yr),Gradient (m/m),Slope angle (deg)
4e-05,1.4848188132399602,56.040409696498955
8e-05,1.248837768101174,51.31419028143727
0.00012000000000000002,1.0629500634664806,46.74781453781527
0.00016,0.9375061778667241,43.152578122648315
0.0002,0.8071207219017609,38.90771833154152
0.00024,0.7020705392069188,35.071562342900265
0.00028000000000000003,0.5629313484897664,29.376524262447827
0.00032,0.42841575538113974,23.191054719586457
0.00036,0.2565958550711758,14.391372149373215
0.0004,0.20656848025185617,11.671342495104037
0.00044,0.10706918513524637,6.11133034512308
0.00048,0.09597515674461617,5.482180025836164
